Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
17:41:21,812;386,322546;0,106252;0,120961;0,178437;-0,028542;-2,467076;-0,077062;24,090338
17:41:21,822;385,851065;0,108352;0,122011;0,166494;-0,291065;-2,690199;-0,418323;23,972192
17:41:21,832;385,851065;0,108877;0,128837;0,171087;-0,028542;-2,440826;-0,103313;24,142847
17:41:21,842;385,379584;0,107827;0,122011;0,171087;-0,317317;-2,716449;-0,431448;24,064083
17:41:21,852;387,265507;0,107827;0,123586;0,16925;-0,028542;-2,362077;-0,142689;24,090338
17:41:21,862;386,322546;0,106777;0,125686;0,171087;-0,330443;-2,729574;-0,352696;24,090338
17:41:21,872;386,322546;0,114128;0,128837;0,168331;-0,015416;-2,401452;-0,142689;24,050956
17:41:21,882;387,265507;0,107302;0,122011;0,171087;-0,277938;-2,677075;-0,405198;24,090338
17:41:21,892;384,908103;0,113603;0,129362;0,172006;-0,015416;-2,322702;-0,16894;24,064083
17:41:21,902;385,379584;0,109927;0,122536;0,171087;-0,291065;-2,782074;-0,48395;24,116592
17:41:21,912;387,265507;0,117803;0,128312;0,170169;-0,06792;-2,388327;-0,195191;24,142847
17:41:21,922;385,379584;0,108352;0,121486;0,167413;-0,277938;-2,755824;-0,457699;24,116592
17:41:21,932;385,851065;0,112553;0,125161;0,170169;-0,028542;-2,375202;-0,182065;24,12972
17:41:21,942;387,265507;0,109927;0,124111;0,16925;-0,277938;-2,808324;-0,405198;24,064083
17:41:21,952;390,094392;0,116753;0,126736;0,171087;-0,094172;-2,401452;-0,116438;24,064083
17:41:21,962;385,851065;0,108877;0,123586;0,167413;-0,277938;-2,6377;-0,392072;23,985319
17:41:21,972;386,794027;0,114128;0,128837;0,16925;-0,054794;-2,283327;-0,103313;24,07721
17:41:21,982;383,965142;0,107302;0,124111;0,16925;-0,317317;-2,795199;-0,444574;24,090338
17:41:21,992;384,436622;0,107827;0,123586;0,172006;-0,002289;-2,309577;-0,103313;24,07721
17:41:22,002;384,908103;0,108877;0,125686;0,16925;-0,304191;-2,5852;-0,365821;24,050956
17:41:22,012;386,794027;0,103627;0,123586;0,168331;-0,06792;-2,519576;-0,077062;24,064083
17:41:22,022;380,664776;0,111503;0,119911;0,172925;-0,304191;-2,677075;-0,405198;24,116592
17:41:22,032;386,322546;0,112553;0,129362;0,16925;-0,041668;-2,348952;-0,103313;24,050956
17:41:22,042;383,02218;0,113078;0,122011;0,166494;-0,330443;-2,782074;-0,378947;24,103465
17:41:22,052;384,908103;0,107302;0,122011;0,166494;-0,06792;-2,414576;-0,155814;24,064083
17:41:22,062;385,851065;0,105202;0,124636;0,168331;-0,291065;-2,782074;-0,31332;24,116592
17:41:22,072;385,851065;0,115178;0,124636;0,170169;-0,054794;-2,283327;-0,129563;24,050956
17:41:22,082;384,908103;0,107827;0,123586;0,171087;-0,251686;-2,690199;-0,418323;24,103465
17:41:22,092;385,379584;0,113603;0,124111;0,172925;-0,054794;-2,375202;-0,142689;24,090338
